kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
15,0.0,0.0,100,100000,88858965357,76628,0.0,0,1.0,0.500010000200004,nan
15,0.2,0.0,100,100000,12463763395,60404,1.0,0.47619047619047616,1.0,0.9980637563127532,1.4
15,0.4,0.0,100,100000,10012972637,57216,1.0,0.5,1.0,0.9984424298094972,0.1
15,0.6,0.0,100,100000,9204944946,63472,1.0,0.5263157894736842,1.0,0.9988812529966438,0.1
15,0.8,0.0,100,100000,9149398058,60196,1.0,0.7692307692307693,1.0,0.9992206079258179,0.0
15,1.0,0.0,100,100000,8305432997,59244,1.0,0.8333333333333334,1.0,0.9996201443451489,0.0
25,0.0,0.0,100,100000,82499972079,83060,0.0,0,1.0,0.500010000200004,nan
25,0.2,0.0,100,100000,9553864499,62856,1.0,0.5,1.0,0.9985022466300549,0.1
25,0.4,0.0,100,100000,9135432041,61088,1.0,0.5555555555555556,1.0,0.998861298120143,0.1
25,0.6,0.0,100,100000,8392033311,65040,1.0,0.6666666666666666,1.0,0.9991008092716556,0.1
25,0.8,0.0,100,100000,7691561318,67660,1.0,0.7692307692307693,1.0,0.9994602914426209,0.0
25,1.0,0.0,100,100000,7259023190,68564,1.0,0.8333333333333334,1.0,0.9996201443451489,0.0
45,0.0,0.0,100,100000,83714506110,79168,0.0,0,1.0,0.500010000200004,nan
45,0.2,0.0,100,100000,9718595248,62032,1.0,0.5555555555555556,1.0,0.9989610804763046,0.1
45,0.4,0.0,100,100000,9488288246,56756,1.0,0.7692307692307693,1.0,0.9992006394884093,0.0
45,0.6,0.0,100,100000,8312981794,64448,1.0,0.7692307692307693,1.0,0.9993404353126937,0.0
45,0.8,0.0,100,100000,7985450112,56664,1.0,0.7692307692307693,1.0,0.999520230289461,0.0
45,1.0,0.0,100,100000,7594800891,65784,1.0,0.8333333333333334,1.0,0.9996201443451489,0.0
65,0.0,0.0,100,100000,77094781750,73720,0.0,0,1.0,0.500010000200004,nan
65,0.2,0.0,100,100000,8155575549,54464,1.0,0.7692307692307693,1.0,0.9992605471950756,0.0
65,0.4,0.0,100,100000,7554391463,53176,1.0,0.7692307692307693,1.0,0.9993404353126937,0.0
65,0.6,0.0,100,100000,7216014094,53028,1.0,0.7692307692307693,1.0,0.9994802702594651,0.0
65,0.8,0.0,100,100000,7136207061,54044,1.0,0.7692307692307693,1.0,0.9996001599360256,0.0
