replicate,kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
0,10,0.0,0.0,100,1000,509208199,29620,1.0,0.1,1.0,0.501002004008016,948.0
0,10,0.2,0.0,100,1000,356671344,29708,1.0,0.10204081632653061,1.0,0.501002004008016,160.3
0,10,0.4,0.0,100,1000,281188706,29720,1.0,0.13333333333333333,1.0,0.6067961165048543,25.5
0,10,0.6,0.0,100,1000,273663710,29720,1.0,0.17857142857142858,1.0,0.9191176470588235,2.6
0,10,0.8,0.0,100,1000,276828453,29720,1.0,0.3225806451612903,1.0,0.998003992015968,0.0
0,10,1.0,0.0,100,1000,130614354,29728,1.0,0.45454545454545453,1.0,1.0,0.0
0,20,0.0,0.0,100,1000,452418090,29728,1.0,0.1,1.0,0.501002004008016,948.0
0,20,0.2,0.0,100,1000,222051449,29728,1.0,0.43478260869565216,1.0,1.0,0.0
0,20,0.4,0.0,100,1000,181705621,29728,1.0,0.43478260869565216,1.0,1.0,0.0
0,20,0.6,0.0,100,1000,173277809,29728,1.0,0.43478260869565216,1.0,1.0,0.0
0,20,0.8,0.0,100,1000,182384692,29728,1.0,0.43478260869565216,1.0,1.0,0.0
0,20,1.0,0.0,100,1000,132752459,29728,1.0,0.45454545454545453,1.0,1.0,0.0
0,30,0.0,0.0,100,1000,431015871,29732,1.0,0.1,1.0,0.501002004008016,948.0
0,30,0.2,0.0,100,1000,208660526,29736,1.0,0.43478260869565216,1.0,1.0,0.0
0,30,0.4,0.0,100,1000,210187691,29736,1.0,0.43478260869565216,1.0,1.0,0.0
0,30,0.6,0.0,100,1000,163485490,29732,1.0,0.43478260869565216,1.0,1.0,0.0
0,30,0.8,0.0,100,1000,166059019,29732,1.0,0.45454545454545453,1.0,1.0,0.0
0,30,1.0,0.0,100,1000,115890319,29732,1.0,0.45454545454545453,1.0,1.0,0.0
0,40,0.0,0.0,100,1000,417943134,29740,1.0,0.1,1.0,0.501002004008016,948.0
0,40,0.2,0.0,100,1000,224081897,29748,1.0,0.43478260869565216,1.0,1.0,0.0
0,40,0.4,0.0,100,1000,191012713,29744,1.0,0.43478260869565216,1.0,1.0,0.0
0,40,0.6,0.0,100,1000,171841953,29744,1.0,0.43478260869565216,1.0,1.0,0.0
0,40,0.8,0.0,100,1000,164761793,29744,1.0,0.45454545454545453,1.0,1.0,0.0
0,40,1.0,0.0,100,1000,151871071,29744,1.0,0.45454545454545453,1.0,1.0,0.0
0,50,0.0,0.0,100,1000,421189812,29744,1.0,0.1,1.0,0.501002004008016,948.0
0,50,0.2,0.0,100,1000,249834536,29996,1.0,0.43478260869565216,1.0,1.0,0.0
0,50,0.4,0.0,100,1000,207218716,29744,1.0,0.43478260869565216,1.0,1.0,0.0
0,50,0.6,0.0,100,1000,177738366,29744,1.0,0.43478260869565216,1.0,1.0,0.0
0,50,0.8,0.0,100,1000,151443123,29748,1.0,0.45454545454545453,1.0,1.0,0.0
0,50,1.0,0.0,100,1000,139895401,29748,1.0,0.45454545454545453,1.0,1.0,0.0
0,10,0.0,0.02,100,1000,460168785,26700,1.0,0.1,1.0,0.501002004008016,948.0
0,10,0.2,0.02,100,1000,329804913,26708,1.0,0.10204081632653061,1.0,0.501002004008016,282.6
0,10,0.4,0.02,100,1000,319503638,26708,1.0,0.15873015873015872,1.0,0.6053268765133172,68.3
0,10,0.6,0.02,100,1000,201638847,26708,1.0,0.2631578947368421,0.998,0.9397363465160076,11.9
0,10,0.8,0.02,100,1000,167491408,26708,1.0,0.625,0.856,0.9976689976689976,4.0
0,10,1.0,0.02,100,1000,102222517,26708,1.0,0.8333333333333334,0.218,1.0,38.6
0,20,0.0,0.02,100,1000,432148810,26708,1.0,0.1,1.0,0.501002004008016,948.0
