tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
FastViromeExplorer,11,0.0,3140138314,224084,1.0,0.9166666666666666,0.09711818181818188
PhageFilter,11,0.0,3512049460,29504,1.0,0.4230769230769231,0.09090909090909091
Kraken2,11,0.0,743431069,29512,1.0,0.8461538461538461,3.3636363636363638
BioBloomTools,11,0.0,720382069,500772,1.0,0.44,0.09090909090909091
FastViromeExplorer,11,0.02,826613221,224084,1.0,0.9166666666666666,0.746881818181818
PhageFilter,11,0.02,820335275,27092,1.0,0.5238095238095238,0.18181818181818182
Kraken2,11,0.02,62489570,27092,1.0,0.9166666666666666,3.272727272727273
BioBloomTools,11,0.02,619890797,500728,1.0,0.55,0.45454545454545453
FastViromeExplorer,11,0.04,867674608,224092,1.0,0.9166666666666666,4.004681818181818
PhageFilter,11,0.04,909085258,27092,1.0,0.4583333333333333,5.7272727272727275
Kraken2,11,0.04,78490605,27092,1.0,0.9166666666666666,4.818181818181818
BioBloomTools,11,0.04,606557810,500732,1.0,0.4782608695652174,2.727272727272727
FastViromeExplorer,11,0.06,849871973,224088,1.0,0.8461538461538461,10.382800000000001
PhageFilter,11,0.06,437588981,27092,1.0,0.6111111111111112,3.727272727272727
Kraken2,11,0.06,59024642,27092,1.0,0.8461538461538461,5.090909090909091
BioBloomTools,11,0.06,593856284,500732,1.0,0.6875,3.1818181818181817
FastViromeExplorer,11,0.08,908014945,224088,1.0,1.0,16.0
PhageFilter,11,0.08,521345071,27092,1.0,0.5789473684210527,8.818181818181818
Kraken2,11,0.08,63661115,27092,1.0,1.0,8.363636363636363
BioBloomTools,11,0.08,626439066,500728,1.0,0.5789473684210527,7.0
FastViromeExplorer,11,0.1,951222674,224080,1.0,1.0,21.818181818181817
PhageFilter,11,0.1,503917313,27092,1.0,0.5238095238095238,13.545454545454545
Kraken2,11,0.1,64230525,27092,1.0,0.9166666666666666,14.545454545454545
BioBloomTools,11,0.1,714723710,500728,1.0,0.5,11.090909090909092
FastViromeExplorer,22,0.0,846216688,224076,1.0,1.0,0.045454545454545456
PhageFilter,22,0.0,484697211,27092,1.0,0.7586206896551724,0.13636363636363635
Kraken2,22,0.0,68543123,27092,1.0,0.9565217391304348,0.4090909090909091
BioBloomTools,22,0.0,602298410,500728,1.0,0.8461538461538461,0.0
FastViromeExplorer,22,0.02,887214490,224088,1.0,0.9565217391304348,0.24039999999999992
PhageFilter,22,0.02,714163495,27092,1.0,0.5945945945945946,0.18181818181818182
Kraken2,22,0.02,53648115,27092,1.0,0.9166666666666666,2.0
BioBloomTools,22,0.02,602441963,500728,1.0,0.6666666666666666,0.09090909090909091
FastViromeExplorer,22,0.04,819730442,224088,1.0,0.9565217391304348,2.038818181818182
PhageFilter,22,0.04,457842090,27092,1.0,0.5238095238095238,0.5454545454545454
Kraken2,22,0.04,57174246,27092,1.0,0.88,2.8181818181818183
BioBloomTools,22,0.04,575002268,500728,1.0,0.5238095238095238,0.45454545454545453
FastViromeExplorer,22,0.06,810940454,224088,1.0,1.0,4.181818181818182
PhageFilter,22,0.06,442230128,27092,1.0,0.5945945945945946,2.3636363636363638
Kraken2,22,0.06,55577277,27092,1.0,0.9166666666666666,3.0
BioBloomTools,22,0.06,566186698,500728,1.0,0.6285714285714286,1.2272727272727273
FastViromeExplorer,22,0.08,830935413,224088,1.0,0.7857142857142857,7.610340909090909
PhageFilter,22,0.08,430518524,27092,1.0,0.5641025641025641,3.1363636363636362
Kraken2,22,0.08,54205136,27092,1.0,0.8148148148148148,5.7272727272727275
BioBloomTools,22,0.08,558273015,500728,1.0,0.55,2.909090909090909
FastViromeExplorer,22,0.1,801280961,224084,1.0,0.8461538461538461,12.25652409090909
PhageFilter,22,0.1,400006084,27092,1.0,0.6666666666666666,6.909090909090909
Kraken2,22,0.1,55972978,27092,1.0,0.9565217391304348,8.590909090909092
BioBloomTools,22,0.1,561691288,500728,1.0,0.6470588235294118,5.954545454545454
FastViromeExplorer,33,0.0,793560735,224152,1.0,1.0,0.5065666666666667
PhageFilter,33,0.0,490104455,27100,1.0,0.7674418604651163,7.787878787878788
Kraken2,33,0.0,55697215,27100,1.0,1.0,1.6363636363636365
BioBloomTools,33,0.0,599515262,500728,1.0,0.8048780487804879,1.3636363636363635
FastViromeExplorer,33,0.02,795676201,224088,1.0,1.0,0.21212121212121213
PhageFilter,33,0.02,454896977,27100,1.0,0.6346153846153846,0.18181818181818182
Kraken2,33,0.02,54378035,27100,1.0,0.9166666666666666,1.4848484848484849
BioBloomTools,33,0.02,556909328,500728,1.0,0.6226415094339622,0.12121212121212122
FastViromeExplorer,33,0.04,792317243,224088,1.0,0.9428571428571428,1.2149818181818182
PhageFilter,33,0.04,438229629,27100,1.0,0.673469387755102,2.3333333333333335
Kraken2,33,0.04,52721208,27100,1.0,0.9166666666666666,2.1515151515151514
BioBloomTools,33,0.04,558313915,500728,1.0,0.6875,0.6363636363636364
FastViromeExplorer,33,0.06,833898041,224092,1.0,0.8918918918918919,2.972538181818182
PhageFilter,33,0.06,441151417,27100,1.0,0.7674418604651163,2.9393939393939394
Kraken2,33,0.06,57824847,27100,1.0,0.9166666666666666,2.757575757575758
BioBloomTools,33,0.06,546681456,500732,1.0,0.7021276595744681,1.4545454545454546
FastViromeExplorer,33,0.08,802663906,224092,1.0,1.0,5.515151818181819
PhageFilter,33,0.08,446565162,27100,1.0,0.825,2.8181818181818183
Kraken2,33,0.08,54265931,27100,1.0,1.0,3.757575757575758
BioBloomTools,33,0.08,538076595,500732,1.0,0.7674418604651163,2.4545454545454546
FastViromeExplorer,33,0.1,850642239,224156,1.0,1.0,7.303030606060606
PhageFilter,33,0.1,485552874,27100,1.0,0.7333333333333333,4.333333333333333
Kraken2,33,0.1,59509995,27100,1.0,0.9166666666666666,6.151515151515151
BioBloomTools,33,0.1,564710823,500732,1.0,0.6875,3.8484848484848486
FastViromeExplorer,44,0.0,850749200,224084,1.0,1.0,0.17032954545454537
PhageFilter,44,0.0,497746371,27100,1.0,0.8,4.4772727272727275
Kraken2,44,0.0,53023522,27100,1.0,0.9565217391304348,0.9545454545454546
BioBloomTools,44,0.0,572782928,500732,1.0,0.8301886792452831,0.4318181818181818
FastViromeExplorer,44,0.02,841074773,224088,1.0,0.9777777777777777,0.27453227272727276
PhageFilter,44,0.02,492027495,27100,1.0,0.7457627118644068,1.8863636363636365
Kraken2,44,0.02,62297690,27100,1.0,0.9777777777777777,0.7727272727272727
BioBloomTools,44,0.02,553441594,500728,1.0,0.8,0.22727272727272727
FastViromeExplorer,44,0.04,823968935,224088,1.0,0.9777777777777777,1.0016272727272728
PhageFilter,44,0.04,479060515,27100,1.0,0.6984126984126984,1.1136363636363635
Kraken2,44,0.04,53233754,27100,1.0,0.9777777777777777,1.4545454545454546
BioBloomTools,44,0.04,552811136,500728,1.0,0.7457627118644068,0.4090909090909091
FastViromeExplorer,44,0.06,805632147,224092,1.0,0.9777777777777777,2.5311856818181813
PhageFilter,44,0.06,448076614,27100,1.0,0.8148148148148148,1.5227272727272727
Kraken2,44,0.06,70105873,27100,1.0,0.9777777777777777,2.022727272727273
BioBloomTools,44,0.06,550762572,500728,1.0,0.7857142857142857,0.7272727272727273
FastViromeExplorer,44,0.08,796353026,224156,1.0,0.9565217391304348,3.6364795454545455
PhageFilter,44,0.08,441445832,27100,1.0,0.7719298245614035,2.6363636363636362
Kraken2,44,0.08,52668183,27100,1.0,0.9777777777777777,2.772727272727273
BioBloomTools,44,0.08,541688182,500728,1.0,0.7586206896551724,1.5227272727272727
FastViromeExplorer,44,0.1,819389469,224088,1.0,0.9777777777777777,5.548525454545454
PhageFilter,44,0.1,451749740,27100,1.0,0.8301886792452831,2.909090909090909
Kraken2,44,0.1,51553327,27100,1.0,0.9565217391304348,3.977272727272727
BioBloomTools,44,0.1,536045864,500728,1.0,0.7857142857142857,2.3636363636363638
FastViromeExplorer,55,0.0,828010744,224092,1.0,0.9821428571428571,0.23537290909090908
PhageFilter,55,0.0,497726390,27108,1.0,0.7857142857142857,2.309090909090909
Kraken2,55,0.0,54593839,27108,1.0,1.0,0.8545454545454545
BioBloomTools,55,0.0,576311781,500728,1.0,0.8208955223880597,0.6
FastViromeExplorer,55,0.02,854347758,224092,1.0,1.0,0.25992145454545446
PhageFilter,55,0.02,487907901,27108,1.0,0.7857142857142857,1.5636363636363637
Kraken2,55,0.02,56136644,27108,1.0,1.0,0.7636363636363637
BioBloomTools,55,0.02,561812877,500728,1.0,0.873015873015873,0.34545454545454546
FastViromeExplorer,55,0.04,822854766,224096,1.0,1.0,0.8496378181818182
