replicate,tree depth,genome count,error,time,filter recall,filter precision
0,0,100,0.0,3153411200,1.0,0.09981996399279856
0,1,100,0.0,3486529722,1.0,0.09981996399279856
0,2,100,0.0,3588490006,1.0,0.9324488461179109
0,3,100,0.0,5513543360,1.0,0.9819935058545705
0,4,100,0.0,5999525445,1.0,0.9822834645669292
0,5,100,0.0,6183368647,1.0,0.9823801555271188
0,6,100,0.0,6769358155,1.0,0.9823801555271188
0,7,100,0.0,7102555791,1.0,0.9823801555271188
0,0,100,0.02,3156427002,1.0,0.09981996399279856
0,1,100,0.02,3575729265,1.0,0.09981996399279856
0,2,100,0.02,3383009906,0.9992985971943887,0.9366078136739294
0,3,100,0.02,5440224141,0.9886773547094189,0.9844357976653697
0,4,100,0.02,5712805410,0.9874749498997996,0.9845154845154845
0,5,100,0.02,6216798725,0.9872745490981963,0.9845123900879297
0,6,100,0.02,6948172607,0.9872745490981963,0.9845123900879297
0,7,100,0.02,7279654911,0.9872745490981963,0.9845123900879297
0,0,100,0.04,3110967682,1.0,0.09981996399279856
0,1,100,0.04,3578380599,1.0,0.09981996399279856
0,2,100,0.04,3658044865,0.9846693386773547,0.9421860019175455
0,3,100,0.04,5367941887,0.8814629258517034,0.9870960502692998
0,4,100,0.04,5894618976,0.8720440881763527,0.9876305038583749
0,5,100,0.04,6187482798,0.8717434869739479,0.9876262912929958
0,6,100,0.04,6836682390,0.8717434869739479,0.9876262912929958
0,7,100,0.04,6836330085,0.8712424849699398,0.9876192639709223
1,0,100,0.0,3153979894,1.0,0.09981996399279856
1,1,100,0.0,3579239348,1.0,0.09981996399279856
1,2,100,0.0,3636113356,1.0,0.9375293565054016
1,3,100,0.0,5363448394,1.0,0.983154369027682
1,4,100,0.0,6103722179,1.0,0.9834450137958218
1,5,100,0.0,6379619439,1.0,0.9834450137958218
1,6,100,0.0,7041795864,1.0,0.9834450137958218
1,7,100,0.0,7195576123,1.0,0.9834450137958218
1,0,100,0.02,3147010716,1.0,0.09981996399279856
1,1,100,0.02,3824714705,1.0,0.09981996399279856
1,2,100,0.02,3728745994,0.9991983967935871,0.9359864839496903
1,3,100,0.02,5436569804,0.9899799599198397,0.9844559585492227
1,4,100,0.02,5830075320,0.9886773547094189,0.9845340251446817
1,5,100,0.02,6203336210,0.9885771543086173,0.9845324817882447
1,6,100,0.02,6681861662,0.9884769539078156,0.9845309381237525
1,7,100,0.02,7220171424,0.9884769539078156,0.9845309381237525
1,0,100,0.04,3239442256,1.0,0.09981996399279856
1,1,100,0.04,3758893890,1.0,0.09981996399279856
1,2,100,0.04,3782544773,0.9850701402805612,0.9432025328600211
1,3,100,0.04,5445584856,0.8919839679358718,0.9871368374362386
1,4,100,0.04,5948893550,0.8812625250501002,0.9873147732375392
1,5,100,0.04,6355037821,0.881062124248497,0.9873119245452504
1,6,100,0.04,6635383419,0.8801603206412826,0.987410071942446
1,7,100,0.04,7085825065,0.8795591182364729,0.9874015748031496
2,0,100,0.0,3387160838,1.0,0.09981996399279856
2,1,100,0.0,3610516130,1.0,0.09981996399279856
2,2,100,0.0,3629595619,1.0,0.9340196537201685
2,3,100,0.0,5592780136,1.0,0.9837358304583539
2,4,100,0.0,5874297708,1.0,0.9839298038055801
2,5,100,0.0,6203631593,1.0,0.9839298038055801
2,6,100,0.0,6733089089,1.0,0.9839298038055801
2,7,100,0.0,7272422339,1.0,0.9839298038055801
2,0,100,0.02,3196012954,1.0,0.09981996399279856
2,1,100,0.02,3445574284,1.0,0.09981996399279856
2,2,100,0.02,3572626048,0.9992985971943887,0.9395195478097033
2,3,100,0.02,5343678496,0.9901803607214429,0.9875087438792846
2,4,100,0.02,5810898109,0.9884769539078156,0.9876852222667201
2,5,100,0.02,6209851978,0.9884769539078156,0.9877841193551617
2,6,100,0.02,6566188309,0.988376753507014,0.9877828960544762
2,7,100,0.02,6738627790,0.988376753507014,0.9877828960544762
2,0,100,0.04,3282793019,1.0,0.09981996399279856
2,1,100,0.04,3764099618,1.0,0.09981996399279856
2,2,100,0.04,3682663642,0.9876753507014028,0.9423518164435947
2,3,100,0.04,5498916574,0.8981963927855712,0.98798633307616
2,4,100,0.04,5750013743,0.8901803607214429,0.9883190566247636
2,5,100,0.04,6142744587,0.8894789579158316,0.988309953239813
2,6,100,0.04,6588457862,0.8892785571142284,0.9884174184207596
2,7,100,0.04,7176695088,0.8886773547094189,0.988409673464839
