tool name,genome count,read count,build time,build memory,contamination percentage,query time,query memory
Kraken2,70,10000,222270616245,7977540,20,227757029,32712
PhageFilter,70,10000,5566943413,157864,20,1184264856,33344
Kraken2,70,100000,222270616245,7977540,20,788859310,46172
PhageFilter,70,100000,5566943413,157864,20,9536839400,46172
Kraken2,140,10000,197931380673,7977556,20,253105858,47572
PhageFilter,140,10000,12976697723,201560,20,1853071618,47572
Kraken2,140,100000,197931380673,7977556,20,717615679,41940
PhageFilter,140,100000,12976697723,201560,20,13168273111,40436
Kraken2,210,10000,215560524075,7978332,20,278045117,44024
PhageFilter,210,10000,23081344997,219864,20,2585890917,44024
Kraken2,210,100000,215560524075,7978332,20,741329976,49300
PhageFilter,210,100000,23081344997,219864,20,23848699781,40644
Kraken2,280,10000,245430393285,7976228,20,343385339,49652
PhageFilter,280,10000,33987446288,230336,20,3039413747,44080
Kraken2,280,100000,245430393285,7976228,20,785997581,56972
PhageFilter,280,100000,33987446288,230336,20,24983184137,42988
Kraken2,350,10000,237987585052,7976804,20,374292921,53320
PhageFilter,350,10000,43761652236,232848,20,3444032904,44356
Kraken2,350,100000,237987585052,7976804,20,825099970,65748
PhageFilter,350,100000,43761652236,232848,20,29511335005,41420
Kraken2,420,10000,261116174615,7977752,20,495484602,61020
PhageFilter,420,10000,55870048148,228840,20,4243314757,44440
Kraken2,420,100000,261116174615,7977752,20,862575224,68532
PhageFilter,420,100000,55870048148,228840,20,35006328250,42040
Kraken2,490,10000,286508131348,7976452,20,557342949,66824
PhageFilter,490,10000,68385635347,234280,20,4574650099,44500
Kraken2,490,100000,286508131348,7976452,20,848233550,77252
PhageFilter,490,100000,68385635347,234280,20,38652781298,42128
Kraken2,560,10000,272304973528,7978280,20,346083417,75152
PhageFilter,560,10000,66189773434,232584,20,4517130996,44528
Kraken2,560,100000,272304973528,7978280,20,794057122,83352
PhageFilter,560,100000,66189773434,232584,20,43231799171,46484
Kraken2,630,10000,224586941625,7977156,20,485785073,78864
PhageFilter,630,10000,84579238667,236672,20,4736388554,44588
Kraken2,630,100000,224586941625,7977156,20,777122040,87172
PhageFilter,630,100000,84579238667,236672,20,47385752891,49468
