tool name,genome count,read count,build time,build memory,contamination percentage,query time,query memory
FastViromeExplorer,70,10000,9548779023,307372,20,4335219512,231304
Kraken2,70,10000,261585237880,7978304,20,162384594,32788
BioBloomTools,70,10000,74603435990,1591088,20,367623085,430956
FACS,70,10000,1253250564,29796,20,148925829,32792
PhageFilter,70,10000,5225367733,158392,20,1155747462,36004
FastViromeExplorer,70,100000,9548779023,307372,20,2653304899,242080
Kraken2,70,100000,261585237880,7978304,20,443969886,46628
BioBloomTools,70,100000,74603435990,1591088,20,1486002571,430948
FACS,70,100000,1253250564,29796,20,229502608,55124
PhageFilter,70,100000,5225367733,158392,20,8343946036,46628
FastViromeExplorer,140,10000,15174509904,606676,20,3626821647,435664
Kraken2,140,10000,202860527703,7977496,20,203386820,47168
BioBloomTools,140,10000,143248036320,2148948,20,518066959,731740
FACS,140,10000,2291680567,46912,20,252872292,47168
PhageFilter,140,10000,11748730522,197296,20,1916972455,47168
FastViromeExplorer,140,100000,15174509904,606676,20,2837912986,449920
Kraken2,140,100000,202860527703,7977496,20,480495769,41116
BioBloomTools,140,100000,143248036320,2148948,20,1885247263,731700
FACS,140,100000,2291680567,46912,20,301884546,60724
PhageFilter,140,100000,11748730522,197296,20,14116367984,38588
FastViromeExplorer,210,10000,22149602897,611080,20,5921079363,443456
Kraken2,210,10000,219815532741,7977488,20,296400307,43720
BioBloomTools,210,10000,216637938638,2360124,20,678682443,1056328
FACS,210,10000,3581042863,38676,20,146144621,43720
PhageFilter,210,10000,20702148014,211948,20,2596409122,43720
FastViromeExplorer,210,100000,22149602897,611080,20,2865288546,457780
Kraken2,210,100000,219815532741,7977488,20,478985188,48044
BioBloomTools,210,100000,216637938638,2360124,20,2089804437,1056672
FACS,210,100000,3581042863,38676,20,180359300,67168
PhageFilter,210,100000,20702148014,211948,20,15389249933,41788
FastViromeExplorer,280,10000,28319168210,1205960,20,3933167496,847408
Kraken2,280,10000,160529275221,7977596,20,1077392558,46164
BioBloomTools,280,10000,291421935233,2972496,20,812574320,1386928
FACS,280,10000,4294669516,48872,20,146858771,43752
PhageFilter,280,10000,24318208266,217908,20,1865182363,43752
FastViromeExplorer,280,100000,28319168210,1205960,20,3116026360,859688
Kraken2,280,100000,160529275221,7977596,20,511945945,54528
BioBloomTools,280,100000,291421935233,2972496,20,2424063100,1387060
FACS,280,100000,4294669516,48872,20,163722341,74988
PhageFilter,280,100000,24318208266,217908,20,18283926920,42992
FastViromeExplorer,350,10000,34453418834,1210336,20,4973086778,859224
Kraken2,350,10000,200652777102,7977596,20,1218416696,51128
BioBloomTools,350,10000,358770294540,3532212,20,954331944,1672356
FACS,350,10000,5325632329,59720,20,210046520,46544
PhageFilter,350,10000,32814825396,232180,20,2143596484,46544
FastViromeExplorer,350,100000,34453418834,1210336,20,3513691415,871564
Kraken2,350,100000,200652777102,7977596,20,518781347,65160
BioBloomTools,350,100000,358770294540,3532212,20,2549333959,1672308
FACS,350,100000,5325632329,59720,20,214846336,80116
PhageFilter,350,100000,32814825396,232180,20,19039147020,65160
FastViromeExplorer,420,10000,44554457429,1216372,20,4672577668,875688
Kraken2,420,10000,184706505237,7977020,20,1866842001,65172
BioBloomTools,420,10000,453408204190,4789228,20,1119351863,2135268
FACS,420,10000,11032834721,75060,20,211925703,65172
PhageFilter,420,10000,39020313293,229784,20,3089916266,65172
FastViromeExplorer,420,100000,44554457429,1216372,20,3957498938,885828
Kraken2,420,100000,184706505237,7977020,20,535421508,72148
BioBloomTools,420,100000,453408204190,4789228,20,2811844527,2135408
FACS,420,100000,11032834721,75060,20,177943742,89944
PhageFilter,420,100000,39020313293,229784,20,29678857329,65172
FastViromeExplorer,490,10000,54053641084,1221716,20,5294935801,887132
Kraken2,490,10000,186722276958,7977608,20,259426404,69536
BioBloomTools,490,10000,541724944964,5336620,20,1245384954,2452544
FACS,490,10000,14796946607,88168,20,344537574,65688
PhageFilter,490,10000,47444133391,226484,20,3164039557,65688
FastViromeExplorer,490,100000,54053641084,1221716,20,4482087827,899324
Kraken2,490,100000,186722276958,7977608,20,550351806,76996
BioBloomTools,490,100000,541724944964,5336620,20,2720822156,2452344
FACS,490,100000,14796946607,88168,20,160899504,98516
PhageFilter,490,100000,47444133391,226484,20,25135830554,65688
FastViromeExplorer,560,10000,79991161937,1226580,20,5810644011,904572
Kraken2,560,10000,198970416378,7978364,20,271256387,73456
BioBloomTools,560,10000,619014056268,5815812,20,1362252336,2716828
FACS,560,10000,18073972761,100192,20,254430054,65792
PhageFilter,560,10000,55233573432,245476,20,4209215907,65792
FastViromeExplorer,560,100000,79991161937,1226580,20,5758505001,917376
Kraken2,560,100000,198970416378,7978364,20,552332581,80500
BioBloomTools,560,100000,619014056268,5815812,20,2879394888,2717104
FACS,560,100000,18073972761,100192,20,167790821,103776
PhageFilter,560,100000,55233573432,245476,20,27624734250,65792
FastViromeExplorer,630,10000,60515992945,2411080,20,6275485588,1705024
Kraken2,630,10000,210938760354,7977268,20,291008588,78016
BioBloomTools,630,10000,688717772105,6388016,20,1469483280,3009968
FACS,630,10000,21463335847,111660,20,275118281,72140
PhageFilter,630,10000,64507620550,240268,20,3223239902,66072
FastViromeExplorer,630,100000,60515992945,2411080,20,4791721939,1717160
Kraken2,630,100000,210938760354,7977268,20,563682036,87120
BioBloomTools,630,100000,688717772105,6388016,20,2958880579,3010016
FACS,630,100000,21463335847,111660,20,169825776,111536
PhageFilter,630,100000,64507620550,240268,20,33568354144,66072
