tool name,contamination percentage,error rate,time,memory,recall,precision
PhageFilter,0,0.0,16794166693,49148,1.0,1.0
BioBloomTools,0,0.0,12627234688,500728,1.0,1.0
FACS,0,0.0,497582036,52696,1.0,1.0
PhageFilter,50,0.0,16513199373,49612,1.0,0.9974863344372182
BioBloomTools,50,0.0,7426948666,500728,1.0,0.9973271632026169
FACS,50,0.0,456895502,52948,1.0,0.9982630223411264
PhageFilter,95,0.0,15175440777,69244,1.0,0.9571209800918836
BioBloomTools,95,0.0,2909878807,500728,1.0,0.9549274255156608
FACS,95,0.0,291924719,69244,1.0,0.9676795045480937
PhageFilter,99,0.0,15826141255,27484,1.0,0.819672131147541
BioBloomTools,99,0.0,2534206862,500732,1.0,0.8090614886731392
FACS,99,0.0,224761681,53560,1.0,0.8613264427217916
PhageFilter,99.5,0.0,15906266568,27996,1.0,0.6775067750677507
BioBloomTools,99.5,0.0,2547843743,500728,1.0,0.6684491978609626
FACS,99.5,0.0,249390228,53288,1.0,0.7530120481927711
PhageFilter,99.9,0.0,15845709264,49624,1.0,0.2710843373493976
BioBloomTools,99.9,0.0,2364892891,500728,1.0,0.2608695652173913
FACS,99.9,0.0,211620347,53176,1.0,0.33707865168539325
PhageFilter,0,0.02,17027296759,27488,0.9996,1.0
BioBloomTools,0,0.02,12497147287,500732,0.99883,1.0
FACS,0,0.02,428754445,52840,0.94697,1.0
PhageFilter,50,0.02,16033600908,49612,0.99948,0.9978833865814697
BioBloomTools,50,0.02,8262229452,500728,0.9987,0.9978019782196024
FACS,50,0.02,531296617,53016,0.94918,0.9986742982197719
PhageFilter,95,0.02,15881115210,69244,1.0,0.9658103148541627
BioBloomTools,95,0.02,3651380694,500728,0.999,0.9640995946728431
FACS,95,0.02,365696767,69244,0.9452,0.9802945447002697
PhageFilter,99,0.02,15822351123,27484,0.999,0.8318068276436303
BioBloomTools,99,0.02,2644018519,500728,0.999,0.8242574257425742
FACS,99,0.02,214009660,53052,0.96,0.8831646734130635
PhageFilter,99.5,0.02,17539012320,27484,1.0,0.6896551724137931
BioBloomTools,99.5,0.02,2517878855,500728,1.0,0.6811989100817438
FACS,99.5,0.02,267463794,52944,0.944,0.7687296416938111
PhageFilter,99.9,0.02,15992870188,27996,1.0,0.28391167192429023
BioBloomTools,99.9,0.02,2506163039,500728,1.0,0.27439024390243905
FACS,99.9,0.02,221398155,53300,0.8555555555555555,0.34684684684684686
PhageFilter,0,0.04,17223778851,27488,0.99041,1.0
BioBloomTools,0,0.04,9571139121,500728,0.98455,1.0
FACS,0,0.04,373152370,52720,0.75015,1.0
PhageFilter,50,0.04,15761726814,49612,0.98992,0.9978227562293364
BioBloomTools,50,0.04,7106258885,500728,0.98424,0.9975877237436905
FACS,50,0.04,407197391,52768,0.74946,0.9983748068417968
PhageFilter,95,0.04,16885197037,69244,0.9906,0.9647448383326841
BioBloomTools,95,0.04,2902894465,500728,0.983,0.9610872115760657
FACS,95,0.04,262415536,69244,0.7636,0.9802310654685494
PhageFilter,99,0.04,15319803932,27484,0.993,0.8538263112639725
BioBloomTools,99,0.04,2469287022,500728,0.989,0.8424190800681431
FACS,99,0.04,221459997,52784,0.774,0.9020979020979021
PhageFilter,99.5,0.04,15564258519,27484,0.982,0.7157434402332361
BioBloomTools,99.5,0.04,2375470382,500728,0.976,0.7031700288184438
FACS,99.5,0.04,167536107,53384,0.736,0.7863247863247863
PhageFilter,99.9,0.04,15483054051,27996,0.9888888888888889,0.3272058823529412
BioBloomTools,99.9,0.04,2796907985,500728,0.9888888888888889,0.31785714285714284
FACS,99.9,0.04,202011195,53012,0.7222222222222222,0.4391891891891892
PhageFilter,0,0.06,16656323919,27488,0.94478,1.0
BioBloomTools,0,0.06,11315098545,500776,0.93746,1.0
FACS,0,0.06,298788342,52840,0.51774,1.0
PhageFilter,50,0.06,16774003096,49612,0.9468,0.9986077711682065
BioBloomTools,50,0.06,6313631415,500728,0.93778,0.9984455517226694
FACS,50,0.06,392018726,53024,0.5116,0.9990626464614903
PhageFilter,95,0.06,16855778559,69244,0.9464,0.9720624486442071
BioBloomTools,95,0.06,2871377677,500732,0.9384,0.9680214565710749
FACS,95,0.06,315111658,69244,0.4992,0.9822904368358913
PhageFilter,99,0.06,15263566643,27484,0.945,0.8340688437775816
BioBloomTools,99,0.06,2414341310,500732,0.939,0.8317094774136404
FACS,99,0.06,181157937,53396,0.523,0.8955479452054794
PhageFilter,99.5,0.06,14921218989,27484,0.946,0.7379095163806553
BioBloomTools,99.5,0.06,2375122450,500728,0.928,0.7171561051004637
FACS,99.5,0.06,209298050,53128,0.522,0.8233438485804416
PhageFilter,99.9,0.06,15294942117,27996,0.9333333333333333,0.3157894736842105
BioBloomTools,99.9,0.06,2417713641,500728,0.9222222222222223,0.29856115107913667
FACS,99.9,0.06,172614168,52792,0.4666666666666667,0.4375
PhageFilter,0,0.08,16561487196,27488,0.85018,1.0
BioBloomTools,0,0.08,10199860561,500728,0.85256,1.0
FACS,0,0.08,284189370,52976,0.31629,1.0
PhageFilter,50,0.08,15244682595,49612,0.85048,0.9986379221267202
BioBloomTools,50,0.08,6782336790,500728,0.85144,0.9982881932231211
FACS,50,0.08,250689590,52756,0.31532,0.9988596046629499
PhageFilter,95,0.08,15928269931,69244,0.8482,0.9702585220773279
BioBloomTools,95,0.08,2684017313,500728,0.8462,0.9644403920674721
FACS,95,0.08,204054244,69244,0.324,0.9818181818181818
PhageFilter,99,0.08,14764697651,27484,0.833,0.8740818467995802
BioBloomTools,99,0.08,2790329970,500728,0.834,0.8597938144329897
FACS,99,0.08,183083557,53000,0.287,0.9348534201954397
PhageFilter,99.5,0.08,14860686217,27484,0.832,0.7661141804788214
BioBloomTools,99.5,0.08,2355309098,500728,0.824,0.7383512544802867
FACS,99.5,0.08,199671754,53140,0.31,0.9011627906976745
PhageFilter,99.9,0.08,15138777730,27996,0.8333333333333334,0.39893617021276595
BioBloomTools,99.9,0.08,2321043939,500732,0.8333333333333334,0.35545023696682465
FACS,99.9,0.08,192858760,53340,0.4222222222222222,0.7169811320754716
PhageFilter,0,0.1,16936429292,27488,0.71108,1.0
BioBloomTools,0,0.1,7560328035,500732,0.73782,1.0
FACS,0,0.1,247613949,52656,0.1801,1.0
PhageFilter,50,0.1,15388133117,49612,0.71198,0.9986534631245266
BioBloomTools,50,0.1,4968259996,500732,0.73518,0.9983975229507306
FACS,50,0.1,222047147,52752,0.17828,0.9984318996415771
PhageFilter,95,0.1,14926578912,69244,0.713,0.9743099207433725
BioBloomTools,95,0.1,2601567018,500728,0.7384,0.968520461699895
FACS,95,0.1,193548630,69244,0.1828,0.9881081081081081
PhageFilter,99,0.1,14994870933,27484,0.713,0.8631961259079903
BioBloomTools,99,0.1,2412079985,500728,0.75,0.8493771234428086
FACS,99,0.1,201587229,53024,0.181,0.8786407766990292
PhageFilter,99.5,0.1,15275294108,27484,0.696,0.7648351648351648
BioBloomTools,99.5,0.1,2921210939,500732,0.75,0.7381889763779528
FACS,99.5,0.1,159742198,52872,0.172,0.7962962962962963
PhageFilter,99.9,0.1,14968613754,27996,0.7222222222222222,0.3735632183908046
BioBloomTools,99.9,0.1,2962844875,500728,0.7222222222222222,0.33163265306122447
FACS,99.9,0.1,163363351,53128,0.2111111111111111,0.48717948717948717
