replicate,kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
1,10,0.0,0.0,50,1000,1028821573,29788,1.0,0.02,1.0,0.501002004008016,498.0
1,10,0.1,0.0,50,1000,559775334,30012,1.0,0.020833333333333332,1.0,0.501002004008016,293.0
1,10,0.2,0.0,50,1000,514379063,30012,1.0,0.03125,1.0,0.5015045135406219,158.0
1,10,0.3,0.0,50,1000,445835475,30012,1.0,0.05,1.0,0.5291005291005291,90.0
1,10,0.4,0.0,50,1000,389185250,30012,1.0,0.05263157894736842,1.0,0.6468305304010349,28.0
1,10,0.5,0.0,50,1000,575038062,30020,1.0,0.0625,1.0,0.8156606851549756,7.0
1,10,0.6,0.0,50,1000,320372557,30020,1.0,0.09090909090909091,1.0,0.945179584120983,0.0
1,10,0.7,0.0,50,1000,354016138,30020,1.0,0.2,1.0,0.9881422924901185,0.0
1,10,0.8,0.0,50,1000,231366233,30020,1.0,0.5,1.0,0.998003992015968,0.0
1,10,0.9,0.0,50,1000,205912643,30020,1.0,1.0,1.0,0.998003992015968,0.0
1,15,0.0,0.0,50,1000,636195301,30020,1.0,0.02,1.0,0.501002004008016,498.0
1,15,0.1,0.0,50,1000,128575711,30020,1.0,0.3333333333333333,1.0,0.9960159362549801,0.0
1,15,0.2,0.0,50,1000,166300305,30020,1.0,0.5,1.0,0.998003992015968,0.0
1,15,0.3,0.0,50,1000,131682117,30020,1.0,1.0,1.0,0.998003992015968,0.0
1,15,0.4,0.0,50,1000,124550453,30020,1.0,1.0,1.0,0.998003992015968,0.0
1,15,0.5,0.0,50,1000,115683799,30020,1.0,1.0,1.0,0.998003992015968,0.0
1,15,0.6,0.0,50,1000,153161442,30020,1.0,1.0,1.0,0.998003992015968,0.0
1,15,0.7,0.0,50,1000,110586474,30020,1.0,1.0,1.0,0.998003992015968,0.0
1,15,0.8,0.0,50,1000,111957710,30020,1.0,1.0,1.0,0.998003992015968,0.0
1,15,0.9,0.0,50,1000,132595418,30020,1.0,1.0,1.0,0.998003992015968,0.0
1,20,0.0,0.0,50,1000,478780349,30020,1.0,0.02,1.0,0.501002004008016,498.0
1,20,0.1,0.0,50,1000,142099819,30020,1.0,0.5,1.0,0.998003992015968,0.0
1,20,0.2,0.0,50,1000,134071245,30020,1.0,0.5,1.0,0.998003992015968,0.0
1,20,0.3,0.0,50,1000,143313956,30028,1.0,1.0,1.0,0.998003992015968,0.0
1,20,0.4,0.0,50,1000,121839234,30036,1.0,1.0,1.0,0.998003992015968,0.0
1,20,0.5,0.0,50,1000,113074340,30036,1.0,1.0,1.0,0.998003992015968,0.0
1,20,0.6,0.0,50,1000,135472307,30036,1.0,1.0,1.0,0.998003992015968,0.0
1,20,0.7,0.0,50,1000,125726720,30036,1.0,1.0,1.0,0.998003992015968,0.0
1,20,0.8,0.0,50,1000,129104410,30036,1.0,1.0,1.0,0.998003992015968,0.0
1,20,0.9,0.0,50,1000,109938654,30036,1.0,1.0,1.0,0.998003992015968,0.0
1,25,0.0,0.0,50,1000,455872606,30036,1.0,0.02,1.0,0.501002004008016,498.0
1,25,0.1,0.0,50,1000,168166626,30036,1.0,0.5,1.0,0.998003992015968,0.0
1,25,0.2,0.0,50,1000,100986341,30036,1.0,1.0,1.0,0.998003992015968,0.0
1,25,0.3,0.0,50,1000,129144142,30044,1.0,1.0,1.0,0.998003992015968,0.0
1,25,0.4,0.0,50,1000,159579506,30044,1.0,1.0,1.0,0.998003992015968,0.0
1,25,0.5,0.0,50,1000,145271304,30044,1.0,1.0,1.0,0.998003992015968,0.0
1,25,0.6,0.0,50,1000,118598337,30044,1.0,1.0,1.0,0.998003992015968,0.0
1,25,0.7,0.0,50,1000,138189205,30044,1.0,1.0,1.0,0.998003992015968,0.0
1,25,0.8,0.0,50,1000,134806665,30044,1.0,1.0,1.0,0.998003992015968,0.0
1,25,0.9,0.0,50,1000,144469148,30044,1.0,1.0,1.0,0.998003992015968,0.0
1,30,0.0,0.0,50,1000,468608981,30044,1.0,0.02,1.0,0.501002004008016,498.0
1,30,0.1,0.0,50,1000,172464504,30044,1.0,0.5,1.0,0.998003992015968,0.0
1,30,0.2,0.0,50,1000,130821073,30044,1.0,1.0,1.0,0.998003992015968,0.0
1,30,0.3,0.0,50,1000,108611028,30044,1.0,1.0,1.0,0.998003992015968,0.0
1,30,0.4,0.0,50,1000,122736651,30044,1.0,1.0,1.0,0.998003992015968,0.0
1,30,0.5,0.0,50,1000,107300794,30044,1.0,1.0,1.0,0.998003992015968,0.0
1,30,0.6,0.0,50,1000,139852344,30044,1.0,1.0,1.0,0.998003992015968,0.0
1,30,0.7,0.0,50,1000,151148260,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,30,0.8,0.0,50,1000,123008952,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,30,0.9,0.0,50,1000,133811615,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,35,0.0,0.0,50,1000,470742493,30060,1.0,0.02,1.0,0.501002004008016,498.0
1,35,0.1,0.0,50,1000,137700146,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,35,0.2,0.0,50,1000,116883704,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,35,0.3,0.0,50,1000,105017307,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,35,0.4,0.0,50,1000,111821312,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,35,0.5,0.0,50,1000,114084101,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,35,0.6,0.0,50,1000,124831898,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,35,0.7,0.0,50,1000,105575606,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,35,0.8,0.0,50,1000,156481617,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,35,0.9,0.0,50,1000,99163004,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,40,0.0,0.0,50,1000,406352150,30060,1.0,0.02,1.0,0.501002004008016,498.0
1,40,0.1,0.0,50,1000,105164925,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,40,0.2,0.0,50,1000,109067424,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,40,0.3,0.0,50,1000,148678731,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,40,0.4,0.0,50,1000,127403534,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,40,0.5,0.0,50,1000,94215777,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,40,0.6,0.0,50,1000,98337482,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,40,0.7,0.0,50,1000,86588986,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,40,0.8,0.0,50,1000,104089617,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,40,0.9,0.0,50,1000,108178115,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,45,0.0,0.0,50,1000,471282356,30060,1.0,0.02,1.0,0.501002004008016,498.0
1,45,0.1,0.0,50,1000,112210987,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,45,0.2,0.0,50,1000,112801953,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,45,0.3,0.0,50,1000,124035519,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,45,0.4,0.0,50,1000,116177150,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,45,0.5,0.0,50,1000,100174526,30060,1.0,1.0,1.0,0.998003992015968,0.0
1,45,0.6,0.0,50,1000,102488208,30060,1.0,1.0,1.0,0.998003992015968,0.0
