kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
15,0.0,0.0,33,100000,35495415451,66500,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
15,0.2,0.0,33,100000,7151040479,50148,1.0,1.0,1.0,0.9985421284924011,687.3
15,0.4,0.0,33,100000,7178708776,50432,1.0,0.7692307692307693,1.0,0.9988812529966438,4.4
15,0.6,0.0,33,100000,5948199864,49036,1.0,0.9090909090909091,1.0,0.9990409207161125,0.0
15,0.8,0.0,33,100000,6328533174,53672,1.0,0.7692307692307693,1.0,0.9993803841618196,0.7
15,1.0,0.0,33,100000,5903307820,49604,1.0,1.0,1.0,0.9998000399920016,0.0
15,0.0,0.02,33,100000,30721238090,61500,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
15,0.2,0.02,33,100000,7297503105,50060,1.0,0.8333333333333334,0.99964,0.9986014544873332,580.5
15,0.4,0.02,33,100000,6695788351,51648,1.0,0.7692307692307693,0.98716,0.9990689013035382,298.1
15,0.6,0.02,33,100000,6667133540,55772,1.0,0.7692307692307693,0.88916,0.9993930538383725,734.7
15,0.8,0.02,33,100000,5810276071,48964,1.0,0.8333333333333334,0.59704,0.9995312395365968,1975.5
15,1.0,0.02,33,100000,5173325338,47696,1.0,0.8333333333333334,0.22076,0.9996377467850027,3881.0
15,0.0,0.04,33,100000,29850956201,63936,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
15,0.2,0.04,33,100000,8667807686,55812,1.0,0.7142857142857143,0.9897,0.9988494610633402,49.9
15,0.4,0.04,33,100000,6760504920,50772,1.0,0.7142857142857143,0.88484,0.9991418247515809,575.2
15,0.6,0.04,33,100000,6943541365,47236,1.0,0.9090909090909091,0.58332,0.999280501593175,2083.5
15,0.8,0.04,33,100000,5044360963,48380,1.0,0.8333333333333334,0.23616,0.9998306519898391,3819.4
15,1.0,0.04,33,100000,4600974336,47164,1.0,1.0,0.04766,1.0,4761.7
15,0.0,0.06,33,100000,30245657514,63872,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
15,0.2,0.06,33,100000,6218994601,54272,1.0,0.9090909090909091,0.9463,0.9987967575783163,268.8
