replicate,kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
0,10,0.0,0.0,33,1000,208999292,29784,1.0,0.09090909090909091,1.0,0.5,830.0
0,10,0.2,0.0,33,1000,172197447,30008,1.0,0.09090909090909091,1.0,0.5005025125628141,113.66666666666667
0,10,0.4,0.0,33,1000,126280109,30016,1.0,0.13043478260869565,1.0,0.6622340425531915,14.666666666666666
0,10,0.6,0.0,33,1000,110183468,30020,1.0,0.23076923076923078,1.0,0.9485714285714286,0.6666666666666666
0,10,0.8,0.0,33,1000,92915743,30020,1.0,0.75,1.0,1.0,0.0
0,10,1.0,0.0,33,1000,68785606,30028,1.0,1.0,1.0,1.0,0.0
0,20,0.0,0.0,33,1000,221307004,30032,1.0,0.09090909090909091,1.0,0.5,830.0
0,20,0.2,0.0,33,1000,134870600,30032,1.0,1.0,1.0,1.0,0.0
0,20,0.4,0.0,33,1000,116636077,30032,1.0,1.0,1.0,1.0,0.0
0,20,0.6,0.0,33,1000,101566738,30032,1.0,1.0,1.0,1.0,0.0
0,20,0.8,0.0,33,1000,68084110,30032,1.0,1.0,1.0,1.0,0.0
0,20,1.0,0.0,33,1000,73810230,30032,1.0,1.0,1.0,1.0,0.0
0,30,0.0,0.0,33,1000,185619297,30040,1.0,0.09090909090909091,1.0,0.5,830.0
0,30,0.2,0.0,33,1000,115119617,30040,1.0,1.0,1.0,1.0,0.0
0,30,0.4,0.0,33,1000,101136480,30040,1.0,1.0,1.0,1.0,0.0
0,30,0.6,0.0,33,1000,74804141,30040,1.0,1.0,1.0,1.0,0.0
0,30,0.8,0.0,33,1000,85439115,30040,1.0,1.0,1.0,1.0,0.0
0,30,1.0,0.0,33,1000,74732574,30040,1.0,1.0,1.0,1.0,0.0
0,40,0.0,0.0,33,1000,182033598,30040,1.0,0.09090909090909091,1.0,0.5,830.0
0,40,0.2,0.0,33,1000,102595688,30040,1.0,1.0,1.0,1.0,0.0
0,40,0.4,0.0,33,1000,119214782,30040,1.0,1.0,1.0,1.0,0.0
0,40,0.6,0.0,33,1000,85237283,30040,1.0,1.0,1.0,1.0,0.0
0,40,0.8,0.0,33,1000,65622496,30040,1.0,1.0,1.0,1.0,0.0
