genome count,number of reads,build time (ns),build mem (bytes),query time (ns),query memory (bytes),classification recall,classification precision,filter recall,filter precision,avg. read count error
10,100,1121331315,54316,44762998,29764,1.0,1.0,1.0,1.0,0.0
10,1000,1121331315,54316,86238268,27316,1.0,1.0,1.0,1.0,0.0
10,10000,1121331315,54316,484120896,33160,1.0,1.0,1.0,1.0,0.0
10,100000,1121331315,54316,4106314759,43848,1.0,1.0,1.0,1.0,0.0
20,100,1741427214,101032,60232245,44748,1.0,1.0,1.0,1.0,0.0
20,1000,1741427214,101032,109574602,44748,1.0,1.0,1.0,1.0,0.0
20,10000,1741427214,101032,525397323,44748,1.0,1.0,1.0,1.0,0.0
20,100000,1741427214,101032,6394692939,55788,1.0,1.0,1.0,1.0,0.0
30,100,2906849675,154944,89661158,40544,1.0,1.0,1.0,1.0,0.0
30,1000,2906849675,154944,161079941,40544,1.0,0.75,1.0,1.0,0.0
30,10000,2906849675,154944,731957141,42324,1.0,1.0,1.0,0.9996250468691413,1.0
30,100000,2906849675,154944,7482012835,50332,1.0,0.75,1.0,0.9996626054358013,0.0
40,100,4148990898,201296,131246825,40548,1.0,1.0,1.0,1.0,0.0
40,1000,4148990898,201296,202898551,40548,1.0,0.5714285714285714,1.0,1.0,0.0
40,10000,4148990898,201296,970981058,45000,1.0,1.0,1.0,0.9997500624843789,0.0
40,100000,4148990898,201296,7326802826,51332,1.0,1.0,1.0,0.9997875451466564,0.25
50,100,5375113684,252928,163080171,40548,1.0,0.8333333333333334,1.0,1.0,0.4
50,1000,5375113684,252928,248306092,41096,1.0,0.625,1.0,1.0,0.0
50,10000,5375113684,252928,1153705675,51596,1.0,0.45454545454545453,1.0,1.0,0.0
50,100000,5375113684,252928,8190665097,57520,1.0,0.8333333333333334,1.0,0.9997250756042089,0.0
60,100,6797141386,264128,223112224,40548,1.0,0.6,1.0,1.0,0.0
60,1000,6797141386,264128,259180935,43400,1.0,0.75,1.0,1.0,0.0
60,10000,6797141386,264128,1203936678,65664,1.0,0.5454545454545454,1.0,0.99975,0.16666666666666666
60,100000,6797141386,264128,10652846939,61656,1.0,0.6,1.0,0.9997625504580276,3023.6666666666665
70,100,8346263931,285352,231013559,40548,1.0,0.7,1.0,1.0,0.0
70,1000,8346263931,285352,299903618,43360,1.0,0.5833333333333334,1.0,0.9987484355444305,0.14285714285714285
70,10000,8346263931,285352,1271189409,51684,1.0,0.5833333333333334,1.0,0.9996248593222459,0.14285714285714285
70,100000,8346263931,285352,11005858329,66800,1.0,0.5,1.0,0.9994752492566031,1.0
80,100,9875782031,300896,319792635,40548,1.0,0.42105263157894735,1.0,1.0,0.0
80,1000,9875782031,300896,289353992,43392,1.0,0.7272727272727273,1.0,1.0,19.125
80,10000,9875782031,300896,996688100,45764,1.0,0.7272727272727273,1.0,0.9997500624843789,0.0
80,100000,9875782031,300896,9401008778,68012,1.0,0.6666666666666666,1.0,0.999612650098087,0.0
90,100,11441216585,313208,318106047,41480,1.0,0.6,1.0,1.0,0.0
90,1000,11441216585,313208,336887281,43744,1.0,0.5294117647058824,1.0,0.9974811083123426,0.1111111111111111
90,10000,11441216585,313208,1674420240,50688,1.0,0.8181818181818182,1.0,0.9992498124531133,0.6666666666666666
90,100000,11441216585,313208,10490702022,73960,1.0,0.5625,1.0,0.9995126888330772,0.0
100,100,13920623077,320040,479294655,40548,1.0,0.45454545454545453,1.0,1.0,0.9
100,1000,13920623077,320040,365070187,45988,1.0,0.5882352941176471,1.0,1.0,0.0
100,10000,13920623077,320040,1671075797,56380,1.0,0.45454545454545453,1.0,0.9992505620784412,0.1
100,100000,13920623077,320040,13723871557,59756,1.0,0.38461538461538464,1.0,0.9994003597841296,238.9
