genome count,number of reads,build time (ns),build mem (bytes),query time (ns),query memory (bytes),recall,precision,avg. read count error
50,100,1480378198,36308,130993467,25932,1.0,1.0,0.0
50,1000,1480378198,36308,158455421,26128,1.0,1.0,0.22
50,10000,1480378198,36308,580183314,26768,1.0,1.0,1.88
50,100000,1480378198,36308,5404195339,26964,1.0,1.0,17.28
100,100,2662466821,39276,442447851,27080,1.0,0.9615384615384616,0.0
100,1000,2662466821,39276,328047759,27220,1.0,0.8928571428571429,0.04
100,10000,2662466821,39276,1145327311,27224,1.0,0.8928571428571429,5.56
100,100000,2662466821,39276,6710974678,27228,1.0,0.8333333333333334,69.6
150,100,4659353883,44668,235308214,27356,1.0,0.8620689655172413,0.02
150,1000,4659353883,44668,314344956,27484,1.0,0.746268656716418,0.14
150,10000,4659353883,44668,978509366,27484,1.0,0.704225352112676,4.14
150,100000,4659353883,44668,8112403199,27488,1.0,0.704225352112676,55.36
200,100,6879921309,48460,252857517,27636,1.0,0.8620689655172413,0.02
200,1000,6879921309,48460,438485948,27752,1.0,0.7246376811594203,0.16
200,10000,6879921309,48460,1609915300,27752,1.0,0.6666666666666666,0.72
200,100000,6879921309,48460,9989471425,27752,1.0,0.684931506849315,1.28
250,100,8994642311,53144,272448024,27900,0.98,0.8909090909090909,0.08163265306122448
250,1000,8994642311,53144,609136627,28012,0.98,0.7,0.0
250,10000,8994642311,53144,1746988366,27756,1.0,0.6172839506172839,3.92
250,100000,8994642311,53144,11274748489,27756,0.98,0.5833333333333334,100.91836734693878
300,100,11979058817,58388,342105004,27928,1.0,0.819672131147541,0.02
300,1000,11979058817,58388,1022225603,28716,1.0,0.5617977528089888,0.78
300,10000,11979058817,58388,2280499566,28720,1.0,0.5319148936170213,6.88
300,100000,11979058817,58388,16404844055,28736,1.0,0.5154639175257731,18.28
