tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
FastViromeExplorer,11,0.0,4048499519,224080,1.0,0.9166666666666666,0.0
PhageFilter,11,0.0,2847784495,29484,1.0,0.55,0.0
Kraken2,11,0.0,217180802,29484,1.0,0.9166666666666666,4.0
BioBloomTools,11,0.0,636138427,500724,1.0,0.6111111111111112,0.09090909090909091
FastViromeExplorer,11,0.02,831185428,224088,1.0,0.9166666666666666,0.4567363636363634
PhageFilter,11,0.02,1246835512,27076,1.0,0.6875,0.18181818181818182
Kraken2,11,0.02,56568593,27076,1.0,0.8461538461538461,2.272727272727273
BioBloomTools,11,0.02,561643295,500728,1.0,0.6875,0.09090909090909091
FastViromeExplorer,11,0.04,826152329,224096,1.0,0.8461538461538461,3.7669818181818187
PhageFilter,11,0.04,937915102,27076,1.0,0.4782608695652174,6.2727272727272725
Kraken2,11,0.04,52755194,27076,1.0,0.7857142857142857,7.181818181818182
BioBloomTools,11,0.04,563685793,500728,1.0,0.4782608695652174,1.0909090909090908
FastViromeExplorer,11,0.06,822314550,224084,1.0,1.0,10.363636363636363
PhageFilter,11,0.06,470998734,27076,1.0,0.6111111111111112,10.818181818181818
Kraken2,11,0.06,52813339,27076,1.0,0.8461538461538461,5.818181818181818
BioBloomTools,11,0.06,580590182,500728,1.0,0.22448979591836735,2.909090909090909
FastViromeExplorer,11,0.08,806991494,224092,1.0,0.9166666666666666,16.371136363636364
PhageFilter,11,0.08,409474128,27076,1.0,0.55,17.272727272727273
Kraken2,11,0.08,56075199,27076,1.0,0.8461538461538461,11.181818181818182
BioBloomTools,11,0.08,558705177,500732,1.0,0.55,5.636363636363637
FastViromeExplorer,11,0.1,841649797,224088,1.0,0.8461538461538461,23.848236363636364
PhageFilter,11,0.1,490162224,27084,1.0,0.4782608695652174,26.454545454545453
Kraken2,11,0.1,55371640,27084,1.0,0.9166666666666666,14.818181818181818
BioBloomTools,11,0.1,555208346,500732,1.0,0.44,11.363636363636363
FastViromeExplorer,22,0.0,813619289,224084,1.0,1.0,0.0
PhageFilter,22,0.0,667736537,27088,1.0,0.55,0.0
Kraken2,22,0.0,56439443,27088,1.0,0.9565217391304348,1.0454545454545454
BioBloomTools,22,0.0,582376672,500728,1.0,0.6111111111111112,0.0
FastViromeExplorer,22,0.02,824641590,224084,1.0,1.0,0.3181818181818182
PhageFilter,22,0.02,391787698,27088,1.0,0.5945945945945946,1.0909090909090908
Kraken2,22,0.02,60982649,27088,1.0,0.9565217391304348,2.227272727272727
BioBloomTools,22,0.02,612365748,500732,1.0,0.6111111111111112,0.13636363636363635
FastViromeExplorer,22,0.04,822677728,224088,1.0,0.9166666666666666,1.7329409090909094
PhageFilter,22,0.04,392216844,27088,1.0,0.6111111111111112,2.409090909090909
Kraken2,22,0.04,63776779,27088,1.0,0.88,2.3181818181818183
