tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
FastViromeExplorer,11,0.0,3712094081,224084,1.0,1.0,0.0
PhageFilter,11,0.0,4468455306,46424,1.0,0.34375,4.545454545454546
Kraken2,11,0.0,130981176,29476,1.0,1.0,1.4545454545454546
BioBloomTools,11,0.0,614751855,500728,1.0,0.6470588235294118,0.0
FastViromeExplorer,11,0.02,809907583,224088,1.0,1.0,0.36363636363636365
PhageFilter,11,0.02,810527928,46360,1.0,0.275,0.8181818181818182
Kraken2,11,0.02,52551896,27088,1.0,0.8461538461538461,3.727272727272727
BioBloomTools,11,0.02,542564757,500728,1.0,0.55,0.18181818181818182
FastViromeExplorer,11,0.04,804431797,224092,1.0,0.8461538461538461,3.1092272727272725
PhageFilter,11,0.04,708153203,43788,1.0,0.3333333333333333,4.7272727272727275
Kraken2,11,0.04,52340267,27088,1.0,0.9166666666666666,4.818181818181818
BioBloomTools,11,0.04,534231220,500728,1.0,0.7333333333333333,0.8181818181818182
FastViromeExplorer,11,0.06,798472207,224092,1.0,0.7857142857142857,8.290009090909091
PhageFilter,11,0.06,544731503,46328,1.0,0.4782608695652174,8.454545454545455
Kraken2,11,0.06,53014262,27088,1.0,0.8461538461538461,6.454545454545454
BioBloomTools,11,0.06,529141452,500732,1.0,0.5238095238095238,2.909090909090909
FastViromeExplorer,11,0.08,795983478,224160,1.0,0.7333333333333333,15.37740909090909
PhageFilter,11,0.08,611605405,46388,1.0,0.44,14.545454545454545
Kraken2,11,0.08,51465221,27088,1.0,0.8461538461538461,13.272727272727273
BioBloomTools,11,0.08,526281476,500728,1.0,0.5,5.454545454545454
FastViromeExplorer,11,0.1,790305426,224084,1.0,1.0,22.636363636363637
PhageFilter,11,0.1,765761094,44044,1.0,0.3548387096774194,22.272727272727273
Kraken2,11,0.1,56639741,27088,1.0,0.7333333333333333,18.0
BioBloomTools,11,0.1,512209420,500728,1.0,0.44,12.090909090909092
FastViromeExplorer,22,0.0,792350751,224084,1.0,1.0,0.18926363636363644
PhageFilter,22,0.0,604004790,46316,1.0,0.5945945945945946,3.227272727272727
Kraken2,22,0.0,63212854,27088,1.0,1.0,1.3636363636363635
BioBloomTools,22,0.0,538164124,500728,1.0,0.8148148148148148,0.36363636363636365
FastViromeExplorer,22,0.02,791280246,224088,1.0,0.9565217391304348,0.42268181818181816
PhageFilter,22,0.02,697170346,46472,1.0,0.5238095238095238,1.6363636363636365
Kraken2,22,0.02,66547318,27088,1.0,0.9166666666666666,2.3181818181818183
BioBloomTools,22,0.02,539872090,500728,1.0,0.6285714285714286,0.3181818181818182
FastViromeExplorer,22,0.04,795413167,224088,1.0,0.9565217391304348,1.6363636363636365
PhageFilter,22,0.04,605988146,48488,1.0,0.6470588235294118,2.909090909090909
Kraken2,22,0.04,55353458,27088,1.0,0.9565217391304348,2.1818181818181817
BioBloomTools,22,0.04,540513835,500728,1.0,0.6470588235294118,0.8181818181818182
FastViromeExplorer,22,0.06,857878195,224084,1.0,0.88,4.5213
PhageFilter,22,0.06,631159735,46132,1.0,0.5789473684210527,5.7727272727272725
Kraken2,22,0.06,53142932,27088,1.0,0.9166666666666666,2.9545454545454546
BioBloomTools,22,0.06,533158958,500732,1.0,0.6285714285714286,1.6818181818181819
FastViromeExplorer,22,0.08,858971194,224088,1.0,0.88,8.012426818181819
PhageFilter,22,0.08,638261598,44004,1.0,0.6111111111111112,7.863636363636363
Kraken2,22,0.08,55911868,27088,1.0,0.8461538461538461,6.181818181818182
BioBloomTools,22,0.08,540724122,500728,1.0,0.5945945945945946,3.5454545454545454
FastViromeExplorer,22,0.1,896790709,224088,1.0,0.9166666666666666,11.466049545454545
PhageFilter,22,0.1,632333812,46392,0.9545454545454546,0.6,12.333333333333334
Kraken2,22,0.1,52345685,27088,1.0,0.9166666666666666,8.636363636363637
BioBloomTools,22,0.1,538769024,500732,1.0,0.6111111111111112,5.7272727272727275
FastViromeExplorer,33,0.0,802576989,224088,1.0,0.9428571428571428,0.19118787878787874
PhageFilter,33,0.0,641166408,46144,1.0,0.825,4.03030303030303
Kraken2,33,0.0,50511816,27096,1.0,0.9428571428571428,0.6363636363636364
BioBloomTools,33,0.0,533073119,500728,1.0,0.7857142857142857,0.3333333333333333
FastViromeExplorer,33,0.02,799529398,224092,1.0,0.9705882352941176,0.42172121212121216
PhageFilter,33,0.02,639793835,46148,1.0,0.7674418604651163,4.393939393939394
Kraken2,33,0.02,52869744,27096,1.0,0.9705882352941176,1.2727272727272727
BioBloomTools,33,0.02,537058226,500776,1.0,0.6875,0.42424242424242425
FastViromeExplorer,33,0.04,824917513,224096,1.0,0.9705882352941176,1.1137515151515154
PhageFilter,33,0.04,668912861,48524,1.0,0.8048780487804879,2.787878787878788
Kraken2,33,0.04,53276852,27096,1.0,0.9705882352941176,1.8181818181818181
BioBloomTools,33,0.04,527824817,500728,1.0,0.6875,0.7575757575757576
FastViromeExplorer,33,0.06,822741577,224092,1.0,0.9166666666666666,3.0012654545454547
PhageFilter,33,0.06,634843936,48208,1.0,0.825,3.6666666666666665
Kraken2,33,0.06,54616840,27096,1.0,0.9705882352941176,2.3636363636363638
BioBloomTools,33,0.06,523400998,500728,1.0,0.673469387755102,1.2121212121212122
FastViromeExplorer,33,0.08,795578152,224088,1.0,1.0,5.545454545454546
PhageFilter,33,0.08,663858144,46324,0.9393939393939394,0.8611111111111112,5.774193548387097
Kraken2,33,0.08,57701182,27096,1.0,0.9705882352941176,3.3636363636363638
BioBloomTools,33,0.08,519434139,500732,1.0,0.7021276595744681,2.1818181818181817
FastViromeExplorer,33,0.1,806105436,224152,1.0,0.8918918918918919,8.193447878787879
PhageFilter,33,0.1,629107919,46052,0.8181818181818182,0.675,6.37037037037037
Kraken2,33,0.1,51353162,27096,1.0,0.9428571428571428,5.575757575757576
BioBloomTools,33,0.1,525455496,500728,1.0,0.717391304347826,3.909090909090909
FastViromeExplorer,44,0.0,885833092,224084,1.0,0.9777777777777777,0.23839272727272726
PhageFilter,44,0.0,682253685,46120,0.5,0.5945945945945946,12.227272727272727
Kraken2,44,0.0,57022885,27096,1.0,0.9777777777777777,0.8636363636363636
