sequence name, Evalue, hit name
SRR9598210.3085,7.38227e-69,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.5785,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.8185,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.12182,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.24189,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.26195,1.58672e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598210.29723,1.22661e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.31490,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.32629,1.58672e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598210.40863,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.46101,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.52528,5.70684e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.58910,1.22661e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.60220,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.64114,1.58672e-70,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598210.65527,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.67475,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.71337,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.71784,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.88097,4.41166e-71,gi|1487192113|emb|LR025196.1| Escherichia phage vB_Eco_SLUR63 genome assembly, complete genome: monopartite
SRR9598210.91979,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.92374,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.99630,1.58672e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598210.99790,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.103321,3.41042e-72,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.111630,1.22661e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.115886,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.117442,1.58672e-70,gi|1524743689|gb|MK165087.1| Escherichia phage BRET, complete genome
SRR9598210.118219,1.58672e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598210.123760,9.54957e-68,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.124471,3.41042e-72,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598210.127895,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.129135,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.134066,1.22661e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.134241,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.140132,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.145391,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.149230,4.41166e-71,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598210.154006,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.154787,3.41042e-72,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.155213,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.157084,1.22661e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.158566,2.05255e-69,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598210.159053,1.58672e-70,gi|1613838667|gb|MK672798.1| Escherichia phage Skure, complete genome
SRR9598210.159588,4.41166e-71,gi|1049308706|gb|KX534337.1| Escherichia phage Greed, partial genome
SRR9598210.162352,1.58672e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598210.179541,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.180692,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.181456,4.42974e-71,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598210.186145,1.59322e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598210.187206,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.3230680,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.3232981,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.2753257,1.23163e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.2755158,1.59322e-70,gi|1603729858|gb|MK373795.1| Escherichia phage vB_EcoS_HdSG1, complete genome
SRR9598210.2759372,1.59322e-70,gi|1049308706|gb|KX534337.1| Escherichia phage Greed, partial genome
SRR9598210.2759980,5.73024e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.2763170,9.58871e-68,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.2763843,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.2770677,2.06096e-69,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598210.2773350,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.2781338,4.42974e-71,gi|640885073|ref|NC_024146.1| Enterobacteria phage 9g, complete genome
SRR9598210.2781798,2.04643e-74,gi|1487192291|emb|LR025198.1| Escherichia phage vB_Eco_SLUR26 genome assembly, complete genome: monopartite
SRR9598210.2782448,1.59322e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.2784277,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.2785370,9.54957e-68,gi|1487192203|emb|LR025197.1| Escherichia phage vB_Eco_SLUR75 genome assembly, complete genome: monopartite
SRR9598210.2787825,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.2787948,1.58672e-70,gi|1603729756|gb|MK373794.1| Escherichia phage vB_EcoS_HdK1, complete genome
SRR9598210.2788515,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.2792002,4.42974e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.2796950,4.41166e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.2801101,1.58672e-70,gi|1487192203|emb|LR025197.1| Escherichia phage vB_Eco_SLUR75 genome assembly, complete genome: monopartite
SRR9598210.198715,1.58672e-70,gi|1613838667|gb|MK672798.1| Escherichia phage Skure, complete genome
SRR9598210.198397,1.58672e-70,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.198473,1.22661e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.199433,1.22661e-71,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
SRR9598210.203042,1.23531e-66,gi|971766373|ref|NC_029021.1| Enterobacteria phage JenK1, complete genome
